rank,player_name,attempts,success_rate,epa_per_attempt
1,ALDRICK ROSAS,37,0.8378378378378378,0.06866960227489471
2,BRETT MAHER,16,0.9375,0.06232934631407261
3,HARRISON BUTKER,54,0.9074074074074074,0.05054761055443022
4,ANDREW FRANKS,35,0.8571428571428571,0.025637454858848028
5,BRANDON MCMANUS,131,0.8549618320610687,0.015824077437624675
6,JOSH LAMBO,95,0.8736842105263158,0.01558506959363034
7,TRAVIS COONS,36,0.9722222222222222,0.015540485580762228
8,JUSTIN TUCKER,240,0.925,0.01235215961933136
9,NICK ROSE,12,0.9166666666666666,0.009810417890548706
10,MATT BRYANT,262,0.9122137404580153,0.005637639493660162
